player_id,puuid,rank_group,sample_tier,sample_division,sample_league_points,game_name,tag_line,match_id,game_start,queue_id,game_mode,game_duration_min,champion,position,win,kills,deaths,assists,kda,gold,damage_to_champions,damage_taken,vision_score,cs,cs_per_min,game_end,gap_since_previous_game_min,new_session,session_id,game_in_session,continued_session
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7931996643,2026-07-27 21:56:19.553000+00:00,420,CLASSIC,30.25,Yasuo,TOP,True,5,10,6,1.1,10488,9649,25630,18,157,5.190082644628099,2026-07-27 22:26:34.553000+00:00,7.251366666666667,False,20,2,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7932340076,2026-07-28 12:30:30.704000+00:00,420,CLASSIC,21.28333333333333,Vi,TOP,False,2,8,0,0.25,5636,5782,16125,14,96,4.510571652310102,2026-07-28 12:51:47.703999998+00:00,843.93585,True,21,1,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7933319881,2026-07-29 12:22:56.124000+00:00,420,CLASSIC,33.0,Akali,TOP,False,4,11,0,0.3636363636363636,9851,10071,30548,23,177,5.363636363636363,2026-07-29 12:55:56.124000+00:00,1411.1403333333667,True,22,1,True
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7933349195,2026-07-29 13:06:29.467000+00:00,420,CLASSIC,36.11666666666667,Skarner,TOP,True,2,6,13,2.5,10681,23440,40995,33,147,4.070143054914628,2026-07-29 13:42:36.467000002+00:00,10.555716666666665,False,22,2,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7935007240,2026-07-30 20:20:15.640000+00:00,420,CLASSIC,28.45,Rengar,JUNGLE,False,2,9,2,0.4444444444444444,8102,6572,29123,22,117,4.112478031634447,2026-07-30 20:48:42.640000+00:00,1837.6528833333,True,23,1,True
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7935088579,2026-07-30 21:07:22.027000+00:00,420,CLASSIC,15.316666666666666,Ekko,JUNGLE,False,0,4,3,0.75,4626,3320,11792,13,73,4.766050054406964,2026-07-30 21:22:41.027000002+00:00,18.65645,False,23,2,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7935982410,2026-07-31 19:26:01.730000+00:00,420,CLASSIC,23.466666666666665,Ekko,JUNGLE,False,0,0,0,0.0,3924,0,1696,1,23,0.9801136363636364,2026-07-31 19:49:29.730000002+00:00,1323.3450499999667,True,24,1,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7937147541,2026-08-01 20:01:46.299000+00:00,420,CLASSIC,34.53333333333333,Ekko,JUNGLE,True,7,10,8,1.5,13574,16176,37329,19,190,5.501930501930502,2026-08-01 20:36:18.298999998+00:00,1452.2761499999665,True,25,1,True
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7937220821,2026-08-01 20:57:56.779000+00:00,420,CLASSIC,21.0,Ekko,JUNGLE,False,0,8,2,0.25,5538,6189,20790,15,95,4.523809523809524,2026-08-01 21:18:56.779000+00:00,21.641333333366667,False,25,2,True
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7937269464,2026-08-01 21:29:06.673000+00:00,420,CLASSIC,15.766666666666667,Ekko,JUNGLE,False,3,4,0,0.75,5681,4609,11368,9,95,6.02536997885835,2026-08-01 21:44:52.673000002+00:00,10.1649,False,25,3,True
